id,key,status,retry_count,created_at,published_at,publication_record_lag_ms
1024,event-1,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:20.317476,1652.2460
1025,event-2,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:20.322781,1657.5510
1026,event-3,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:20.326256,1661.0260
1027,event-4,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:20.331947,1666.7170
1028,event-5,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:20.335118,1669.8880
1029,event-6,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:20.342096,1676.8660
1030,event-7,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:20.344750,1679.5200
1031,event-8,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:20.347997,1682.7670
1032,event-9,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:20.350635,1685.4050
1033,event-10,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:20.352286,1687.0560
1034,event-11,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:20.354841,1689.6110
1035,event-12,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:20.358215,1692.9850
1036,event-13,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:20.361381,1696.1510
1037,event-14,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:20.363935,1698.7050
1038,event-15,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:20.365900,1700.6700
1039,event-16,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:20.368703,1703.4730
1040,event-17,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:20.373221,1707.9910
1041,event-18,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:20.376907,1711.6770
1042,event-19,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:20.381008,1715.7780
1043,event-20,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:20.387554,1722.3240
1044,event-21,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:20.393224,1727.9940
1045,event-22,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:20.396392,1731.1620
1046,event-23,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:20.399860,1734.6300
1047,event-24,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:20.402645,1737.4150
1048,event-25,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:20.404599,1739.3690
1049,event-26,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:20.406739,1741.5090
1050,event-27,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:20.409489,1744.2590
1051,event-28,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:20.411586,1746.3560
1052,event-29,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:20.413568,1748.3380
1053,event-30,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:20.416265,1751.0350
1054,event-31,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:20.418488,1753.2580
1055,event-32,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:20.420804,1755.5740
1056,event-33,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:20.425029,1759.7990
